
 ================ Running training with num_iterations = 100 ================
Current Epochs: 0.03
Step Index: 42300 | Cost: 2.209494
Step Index: 42400 | Cost: 2.288683
Step Index: 42500 | Cost: 2.030731
Step Index: 42600 | Cost: 2.022163
Step Index: 42700 | Cost: 2.116620
Step Index: 42800 | Cost: 2.101597
Step Index: 42900 | Cost: 2.160011
Step Index: 43000 | Cost: 1.962146
Step Index: 43100 | Cost: 1.959873
Step Index: 43200 | Cost: 2.146136
Step Index: 43300 | Cost: 2.092975
Step Index: 43400 | Cost: 2.182205
Step Index: 43500 | Cost: 2.168431
Step Index: 43600 | Cost: 2.166032
Step Index: 43700 | Cost: 2.081391
Step Index: 43800 | Cost: 2.120434
Step Index: 43900 | Cost: 2.077330
Step Index: 44000 | Cost: 2.141402
Step Index: 44100 | Cost: 2.028984
Step Index: 44200 | Cost: 2.066796
Step Index: 44300 | Cost: 2.175537
Step Index: 44400 | Cost: 2.126431
Step Index: 44500 | Cost: 2.063247
Step Index: 44600 | Cost: 2.014849
Step Index: 44700 | Cost: 2.144925
Step Index: 44800 | Cost: 1.998159
Step Index: 44900 | Cost: 2.229678
Step Index: 45000 | Cost: 1.990587
Step Index: 45100 | Cost: 2.014364
Step Index: 45200 | Cost: 1.953748
Step Index: 45300 | Cost: 2.066615
Step Index: 45400 | Cost: 1.907640
Step Index: 45500 | Cost: 2.069239
Step Index: 45600 | Cost: 2.069518
Step Index: 45700 | Cost: 2.139905
Step Index: 45800 | Cost: 2.086028
Step Index: 45900 | Cost: 2.100427
Step Index: 46000 | Cost: 2.105710
Step Index: 46100 | Cost: 2.098862
Step Index: 46200 | Cost: 1.993418
Step Index: 46300 | Cost: 2.176035
Step Index: 46400 | Cost: 2.008092
Step Index: 46500 | Cost: 1.891987
Step Index: 46600 | Cost: 1.968674
Step Index: 46700 | Cost: 2.065695
Step Index: 46800 | Cost: 2.067418
Step Index: 46900 | Cost: 2.095127
Step Index: 47000 | Cost: 2.007518
Step Index: 47100 | Cost: 2.082362
Step Index: 47200 | Cost: 2.009693
Step Index: 47300 | Cost: 2.097250
Step Index: 47400 | Cost: 2.085032
Step Index: 47500 | Cost: 2.140344
Step Index: 47600 | Cost: 2.122577
Step Index: 47700 | Cost: 2.182111
Step Index: 47800 | Cost: 1.927412
Step Index: 47900 | Cost: 2.168737
Step Index: 48000 | Cost: 2.203087
Step Index: 48100 | Cost: 2.140608
Step Index: 48200 | Cost: 2.057745
Step Index: 48300 | Cost: 1.968904
Step Index: 48400 | Cost: 2.112668
Step Index: 48500 | Cost: 2.112126
Step Index: 48600 | Cost: 2.037645
Step Index: 48700 | Cost: 2.110016
Step Index: 48800 | Cost: 2.227895
Step Index: 48900 | Cost: 2.110256
Step Index: 49000 | Cost: 2.132621
Step Index: 49100 | Cost: 2.198704
Step Index: 49200 | Cost: 2.131116
Step Index: 49300 | Cost: 2.071835
Step Index: 49400 | Cost: 1.950703
Step Index: 49500 | Cost: 2.261932
Step Index: 49600 | Cost: 2.132294
Step Index: 49700 | Cost: 2.205193
Step Index: 49800 | Cost: 2.023539
Step Index: 49900 | Cost: 2.003770
Step Index: 50000 | Cost: 2.199415
Step Index: 50100 | Cost: 2.078764
Step Index: 50200 | Cost: 2.037766
Step Index: 50300 | Cost: 1.995246
Step Index: 50400 | Cost: 1.974071
Step Index: 50500 | Cost: 2.244107
Step Index: 50600 | Cost: 2.109366
Step Index: 50700 | Cost: 2.190990
Step Index: 50800 | Cost: 2.314305
Step Index: 50900 | Cost: 2.033564
Step Index: 51000 | Cost: 2.036566
Step Index: 51100 | Cost: 2.104907
Step Index: 51200 | Cost: 2.031369
Step Index: 51300 | Cost: 2.041660
Step Index: 51400 | Cost: 2.024439
Step Index: 51500 | Cost: 2.039796
Step Index: 51600 | Cost: 1.927196
Step Index: 51700 | Cost: 1.930259
Step Index: 51800 | Cost: 2.145958
Step Index: 51900 | Cost: 2.101054
Step Index: 52000 | Cost: 1.972449
Step Index: 52100 | Cost: 2.078684
Step Index: 52200 | Cost: 1.920896
Step Index: 52300 | Cost: 1.932498
Step Index: 52400 | Cost: 2.206989
Step Index: 52500 | Cost: 2.103093
Step Index: 52600 | Cost: 2.025626
Step Index: 52700 | Cost: 2.109774
Step Index: 52800 | Cost: 2.042432
Step Index: 52900 | Cost: 2.183339
Step Index: 53000 | Cost: 1.900086
Step Index: 53100 | Cost: 2.054246
Step Index: 53200 | Cost: 2.161610
Step Index: 53300 | Cost: 2.064760
Step Index: 53400 | Cost: 2.017498
Step Index: 53500 | Cost: 2.095986
