
 ================ Running training with num_iterations = 100 ================
Current Epochs: 0.03
Step Index: 50400 | Cost: 2.296143
Step Index: 50500 | Cost: 2.295055
Step Index: 50600 | Cost: 2.295828
Step Index: 50700 | Cost: 2.314312
Step Index: 50800 | Cost: 2.312560
Step Index: 50900 | Cost: 2.298528
Step Index: 51000 | Cost: 2.301017
Step Index: 51100 | Cost: 2.298479
Step Index: 51200 | Cost: 2.310009
Step Index: 51300 | Cost: 2.302137
Step Index: 51400 | Cost: 2.301760
Step Index: 51500 | Cost: 2.313373
Step Index: 51600 | Cost: 2.303507
Step Index: 51700 | Cost: 2.302238
Step Index: 51800 | Cost: 2.301586
Step Index: 51900 | Cost: 2.309712
Step Index: 52000 | Cost: 2.292864
Step Index: 52100 | Cost: 2.293358
Step Index: 52200 | Cost: 2.300642
Step Index: 52300 | Cost: 2.292702
Step Index: 52400 | Cost: 2.300224
Step Index: 52500 | Cost: 2.300394
Step Index: 52600 | Cost: 2.302016
Step Index: 52700 | Cost: 2.295311
Step Index: 52800 | Cost: 2.292487
Step Index: 52900 | Cost: 2.314591
Step Index: 53000 | Cost: 2.297129
Step Index: 53100 | Cost: 2.302629
Step Index: 53200 | Cost: 2.309917
Step Index: 53300 | Cost: 2.300840
Step Index: 53400 | Cost: 2.308753
Step Index: 53500 | Cost: 2.292942
Step Index: 53600 | Cost: 2.309654
Step Index: 53700 | Cost: 2.310968
Step Index: 53800 | Cost: 2.294418
Step Index: 53900 | Cost: 2.295706
Step Index: 54000 | Cost: 2.296370
Step Index: 54100 | Cost: 2.308707
Step Index: 54200 | Cost: 2.306322
Step Index: 54300 | Cost: 2.302585
Step Index: 54400 | Cost: 2.304133
Step Index: 54500 | Cost: 2.301060
Step Index: 54600 | Cost: 2.300522
Step Index: 54700 | Cost: 2.299354
Step Index: 54800 | Cost: 2.301498
Step Index: 54900 | Cost: 2.296486
Step Index: 55000 | Cost: 2.298097
Step Index: 55100 | Cost: 2.301027
Step Index: 55200 | Cost: 2.297167
Step Index: 55300 | Cost: 2.306108
Step Index: 55400 | Cost: 2.281866
Step Index: 55500 | Cost: 2.304731
Step Index: 55600 | Cost: 2.300273
Step Index: 55700 | Cost: 2.293715
Step Index: 55800 | Cost: 2.308418
Step Index: 55900 | Cost: 2.286415
Step Index: 56000 | Cost: 2.307518
Step Index: 56100 | Cost: 2.300774
Step Index: 56200 | Cost: 2.306509
Step Index: 56300 | Cost: 2.302094
Step Index: 56400 | Cost: 2.297259
Step Index: 56500 | Cost: 2.306269
Step Index: 56600 | Cost: 2.302430
Step Index: 56700 | Cost: 2.288437
Step Index: 56800 | Cost: 2.305637
Step Index: 56900 | Cost: 2.305865
Step Index: 57000 | Cost: 2.311540
Step Index: 57100 | Cost: 2.309237
Step Index: 57200 | Cost: 2.290178
Step Index: 57300 | Cost: 2.304705
Step Index: 57400 | Cost: 2.309234
Step Index: 57500 | Cost: 2.298400
Step Index: 57600 | Cost: 2.291665
Step Index: 57700 | Cost: 2.305600
Step Index: 57800 | Cost: 2.308417
Step Index: 57900 | Cost: 2.300154
Step Index: 58000 | Cost: 2.301287
Step Index: 58100 | Cost: 2.292173
Step Index: 58200 | Cost: 2.301197
Step Index: 58300 | Cost: 2.300042
Step Index: 58400 | Cost: 2.286471
Step Index: 58500 | Cost: 2.303522
Step Index: 58600 | Cost: 2.292981
Step Index: 58700 | Cost: 2.307199
Step Index: 58800 | Cost: 2.293997
Step Index: 58900 | Cost: 2.306367
Step Index: 59000 | Cost: 2.300673
Step Index: 59100 | Cost: 2.311635
Step Index: 59200 | Cost: 2.298144
Step Index: 59300 | Cost: 2.296052
Step Index: 59400 | Cost: 2.302445
Step Index: 59500 | Cost: 2.307602
Step Index: 59600 | Cost: 2.299624
Step Index: 59700 | Cost: 2.305395
Step Index: 59800 | Cost: 2.302073
Step Index: 59900 | Cost: 2.303113
Step Index: 60000 | Cost: 2.304975
Step Index: 60100 | Cost: 2.301445
Step Index: 60200 | Cost: 2.285587
Step Index: 60300 | Cost: 2.305955
Step Index: 60400 | Cost: 2.305452
Step Index: 60500 | Cost: 2.305529
Step Index: 60600 | Cost: 2.308987
Step Index: 60700 | Cost: 2.301160
Step Index: 60800 | Cost: 2.301566
Step Index: 60900 | Cost: 2.321667
Step Index: 61000 | Cost: 2.299798
Step Index: 61100 | Cost: 2.301424
Step Index: 61200 | Cost: 2.310144
Step Index: 61300 | Cost: 2.304410
Step Index: 61400 | Cost: 2.301824
Step Index: 61500 | Cost: 2.290010
Step Index: 61600 | Cost: 2.302505
Step Index: 61700 | Cost: 2.304847
Step Index: 61800 | Cost: 2.302204
Step Index: 61900 | Cost: 2.307150
Step Index: 62000 | Cost: 2.311520
Step Index: 62100 | Cost: 2.303557
Step Index: 62200 | Cost: 2.295432
Step Index: 62300 | Cost: 2.305635
Step Index: 62400 | Cost: 2.288176
Step Index: 62500 | Cost: 2.307031
Step Index: 62600 | Cost: 2.319771
Step Index: 62700 | Cost: 2.310625
Step Index: 62800 | Cost: 2.295681
Step Index: 62900 | Cost: 2.300191
Step Index: 63000 | Cost: 2.317889
Step Index: 63100 | Cost: 2.307387
Step Index: 63200 | Cost: 2.310508
Step Index: 63300 | Cost: 2.299537
Step Index: 63400 | Cost: 2.309556
Step Index: 63500 | Cost: 2.300115
