
 ================ Running training with num_iterations = 100 ================
Current Epochs: 0.07
Step Index: 43100 | Cost: 1.996209
Step Index: 43200 | Cost: 2.133902
Step Index: 43300 | Cost: 2.000840
Step Index: 43400 | Cost: 2.037263
Step Index: 43500 | Cost: 2.102163
Step Index: 43600 | Cost: 2.123655
Step Index: 43700 | Cost: 2.128401
Step Index: 43800 | Cost: 2.153180
Step Index: 43900 | Cost: 2.044543
Step Index: 44000 | Cost: 2.164503
Step Index: 44100 | Cost: 2.075069
Step Index: 44200 | Cost: 2.234682
Step Index: 44300 | Cost: 2.041628
Step Index: 44400 | Cost: 2.174855
Step Index: 44500 | Cost: 2.240650
Step Index: 44600 | Cost: 2.065005
Step Index: 44700 | Cost: 2.140431
Step Index: 44800 | Cost: 1.972676
Step Index: 44900 | Cost: 2.118609
Step Index: 45000 | Cost: 2.023558
Step Index: 45100 | Cost: 2.105272
Step Index: 45200 | Cost: 2.053270
Step Index: 45300 | Cost: 2.062154
Step Index: 45400 | Cost: 2.036165
Step Index: 45500 | Cost: 2.138859
Step Index: 45600 | Cost: 1.982168
Step Index: 45700 | Cost: 2.236224
Step Index: 45800 | Cost: 2.008283
Step Index: 45900 | Cost: 2.295625
Step Index: 46000 | Cost: 2.092790
Step Index: 46100 | Cost: 2.185011
Step Index: 46200 | Cost: 2.088256
Step Index: 46300 | Cost: 2.100060
Step Index: 46400 | Cost: 2.050995
Step Index: 46500 | Cost: 2.041471
Step Index: 46600 | Cost: 1.990314
Step Index: 46700 | Cost: 2.176868
Step Index: 46800 | Cost: 1.980657
Step Index: 46900 | Cost: 2.119123
Step Index: 47000 | Cost: 1.977649
Step Index: 47100 | Cost: 1.996494
Step Index: 47200 | Cost: 2.153371
Step Index: 47300 | Cost: 2.191636
Step Index: 47400 | Cost: 2.151874
Step Index: 47500 | Cost: 1.961774
Step Index: 47600 | Cost: 2.121097
Step Index: 47700 | Cost: 2.179391
Step Index: 47800 | Cost: 2.113877
Step Index: 47900 | Cost: 2.130605
Step Index: 48000 | Cost: 2.187591
Step Index: 48100 | Cost: 1.952865
Step Index: 48200 | Cost: 2.040018
Step Index: 48300 | Cost: 2.132033
Step Index: 48400 | Cost: 2.162491
Step Index: 48500 | Cost: 2.207679
Step Index: 48600 | Cost: 2.104239
Step Index: 48700 | Cost: 1.996623
Step Index: 48800 | Cost: 2.198850
Step Index: 48900 | Cost: 2.077575
Step Index: 49000 | Cost: 1.997049
Step Index: 49100 | Cost: 1.989819
Step Index: 49200 | Cost: 2.078677
Step Index: 49300 | Cost: 2.053917
Step Index: 49400 | Cost: 2.183600
Step Index: 49500 | Cost: 2.092241
Step Index: 49600 | Cost: 2.190684
Step Index: 49700 | Cost: 2.008147
Step Index: 49800 | Cost: 2.054214
Step Index: 49900 | Cost: 2.075721
Step Index: 50000 | Cost: 2.097076
Step Index: 50100 | Cost: 2.117279
Step Index: 50200 | Cost: 2.039961
Step Index: 50300 | Cost: 2.054460
Step Index: 50400 | Cost: 1.986071
Step Index: 50500 | Cost: 2.037141
Step Index: 50600 | Cost: 2.016868
Step Index: 50700 | Cost: 2.024498
Step Index: 50800 | Cost: 2.023685
Step Index: 50900 | Cost: 2.192842
Step Index: 51000 | Cost: 1.983094
Step Index: 51100 | Cost: 2.049833
Step Index: 51200 | Cost: 2.134026
Step Index: 51300 | Cost: 2.154971
Step Index: 51400 | Cost: 1.954573
Step Index: 51500 | Cost: 1.949057
Step Index: 51600 | Cost: 1.939197
Step Index: 51700 | Cost: 1.990278
Step Index: 51800 | Cost: 2.158291
Step Index: 51900 | Cost: 2.005632
Step Index: 52000 | Cost: 1.970124
Step Index: 52100 | Cost: 2.319567
Step Index: 52200 | Cost: 2.111507
Step Index: 52300 | Cost: 2.033472
Step Index: 52400 | Cost: 2.091144
Step Index: 52500 | Cost: 2.060830
Step Index: 52600 | Cost: 2.258263
Step Index: 52700 | Cost: 1.919162
Step Index: 52800 | Cost: 1.971271
Step Index: 52900 | Cost: 2.172462
Step Index: 53000 | Cost: 2.036188
Step Index: 53100 | Cost: 2.150204
Step Index: 53200 | Cost: 2.028452
Step Index: 53300 | Cost: 2.090811
Step Index: 53400 | Cost: 1.991692
Step Index: 53500 | Cost: 1.974134
Step Index: 53600 | Cost: 2.128515
Step Index: 53700 | Cost: 2.145576
Step Index: 53800 | Cost: 1.846083
Step Index: 53900 | Cost: 2.187500
Step Index: 54000 | Cost: 2.061458
Step Index: 54100 | Cost: 1.985211
Step Index: 54200 | Cost: 2.032382
Step Index: 54300 | Cost: 2.063051
Step Index: 54400 | Cost: 2.112401
Step Index: 54500 | Cost: 2.254038
Step Index: 54600 | Cost: 2.081478
Step Index: 54700 | Cost: 2.141577
Step Index: 54800 | Cost: 1.885283
Step Index: 54900 | Cost: 2.136356
Step Index: 55000 | Cost: 2.026474
Step Index: 55100 | Cost: 1.940628
Step Index: 55200 | Cost: 2.044832
Step Index: 55300 | Cost: 2.007847
Step Index: 55400 | Cost: 2.026744
Step Index: 55500 | Cost: 2.058239
Step Index: 55600 | Cost: 1.930196
Step Index: 55700 | Cost: 2.058990
Step Index: 55800 | Cost: 1.967141
Step Index: 55900 | Cost: 1.981483
Step Index: 56000 | Cost: 1.983202
Step Index: 56100 | Cost: 2.022473
Step Index: 56200 | Cost: 1.954873
Step Index: 56300 | Cost: 2.059798
Step Index: 56400 | Cost: 1.996899
Step Index: 56500 | Cost: 2.070599
Step Index: 56600 | Cost: 2.038248
Step Index: 56700 | Cost: 2.150321
Step Index: 56800 | Cost: 2.022953
Step Index: 56900 | Cost: 2.045311
Step Index: 57000 | Cost: 2.055860
Step Index: 57100 | Cost: 2.054637
Step Index: 57200 | Cost: 2.112820
Step Index: 57300 | Cost: 2.056960
Step Index: 57400 | Cost: 2.063392
Step Index: 57500 | Cost: 2.036787
Step Index: 57600 | Cost: 1.964460
Step Index: 57700 | Cost: 2.028051
Step Index: 57800 | Cost: 2.041338
Step Index: 57900 | Cost: 2.048981
Step Index: 58000 | Cost: 2.002394
Step Index: 58100 | Cost: 1.957771
Step Index: 58200 | Cost: 2.106636
Step Index: 58300 | Cost: 1.961468
Step Index: 58400 | Cost: 1.956728
Step Index: 58500 | Cost: 2.101457
Step Index: 58600 | Cost: 2.046438
Step Index: 58700 | Cost: 2.089571
Step Index: 58800 | Cost: 2.049670
Step Index: 58900 | Cost: 2.085410
Step Index: 59000 | Cost: 2.093540
Step Index: 59100 | Cost: 1.974167
Step Index: 59200 | Cost: 2.126286
Step Index: 59300 | Cost: 2.048111
Step Index: 59400 | Cost: 1.932716
Step Index: 59500 | Cost: 2.115256
Step Index: 59600 | Cost: 1.923579
Step Index: 59700 | Cost: 2.088432
Step Index: 59800 | Cost: 1.974503
Step Index: 59900 | Cost: 2.010233
Step Index: 60000 | Cost: 2.048783
Step Index: 60100 | Cost: 1.919914
Step Index: 60200 | Cost: 1.994975
Step Index: 60300 | Cost: 2.045153
Step Index: 60400 | Cost: 2.074554
Step Index: 60500 | Cost: 1.880764
Step Index: 60600 | Cost: 2.011378
Step Index: 60700 | Cost: 1.922317
Step Index: 60800 | Cost: 1.859918
Step Index: 60900 | Cost: 2.006340
Step Index: 61000 | Cost: 1.951244
Step Index: 61100 | Cost: 1.962388
Step Index: 61200 | Cost: 1.955304
Step Index: 61300 | Cost: 2.071242
Step Index: 61400 | Cost: 1.885902
Step Index: 61500 | Cost: 2.009013
Step Index: 61600 | Cost: 2.121223
Step Index: 61700 | Cost: 2.111138
Step Index: 61800 | Cost: 2.107203
Step Index: 61900 | Cost: 1.949984
Step Index: 62000 | Cost: 1.985156
Step Index: 62100 | Cost: 2.059467
Step Index: 62200 | Cost: 1.975663
Step Index: 62300 | Cost: 1.990402
Step Index: 62400 | Cost: 1.950998
Step Index: 62500 | Cost: 2.032159
Step Index: 62600 | Cost: 2.044518
Step Index: 62700 | Cost: 2.126119
Step Index: 62800 | Cost: 1.906144
Step Index: 62900 | Cost: 1.903801
Step Index: 63000 | Cost: 1.994243
Step Index: 63100 | Cost: 2.059987
Step Index: 63200 | Cost: 1.954801
Step Index: 63300 | Cost: 1.996507
Step Index: 63400 | Cost: 1.976077
Step Index: 63500 | Cost: 2.048186
Step Index: 63600 | Cost: 1.930452
Step Index: 63700 | Cost: 1.991710
Step Index: 63800 | Cost: 1.885447
Step Index: 63900 | Cost: 2.042421
Step Index: 64000 | Cost: 2.119575
Step Index: 64100 | Cost: 2.149834
Step Index: 64200 | Cost: 1.876673
